Time Stamp,X_Acc,Y_Acc,Z_Acc,X_Orient,Y_Orient,Z_Orient
'21-Oct-2021 12:25:07.679',0.575175,-9.435199,2.259124,33.505923,73.499474,-17.007946
'21-Oct-2021 12:25:07.698',0.142971,-9.42802,3.448955,34.176945,74.046853,-15.429836
'21-Oct-2021 12:25:07.717',-0.081954,-9.563215,2.947359,34.53581,74.559772,-13.229932
'21-Oct-2021 12:25:07.736',-0.150449,-9.828818,3.238087,34.536944,74.930986,-11.338185
'21-Oct-2021 12:25:07.755',-0.211466,-9.69482,3.288636,34.487346,75.130346,-10.315386
'21-Oct-2021 12:25:07.774',-0.052044,-9.460323,2.882753,34.556574,75.120196,-10.344399
'21-Oct-2021 12:25:07.793',0.381057,-9.363414,2.426621,34.66085,75.001795,-11.25678
'21-Oct-2021 12:25:07.812',0.717548,-9.348758,1.87358,34.697064,74.859454,-12.500722
'21-Oct-2021 12:25:07.831',0.869492,-9.501001,1.692922,34.745784,74.753634,-13.713661
'21-Oct-2021 12:25:07.850',0.892224,-9.704391,1.908276,34.854302,74.774425,-14.639187
'21-Oct-2021 12:25:07.869',0.77019,-9.70798,2.22682,34.956724,74.924416,-14.991398
'21-Oct-2021 12:25:07.888',0.577568,-9.587143,2.278266,34.996971,75.170378,-14.732897
'21-Oct-2021 12:25:07.907',0.379861,-9.573982,2.376372,35.029721,75.454869,-14.092591
'21-Oct-2021 12:25:07.926',0.18006,-9.581161,2.472085,35.149185,75.735364,-13.415631
'21-Oct-2021 12:25:07.945',0.15015,-9.613464,2.350051,35.367696,75.982959,-12.957822
'21-Oct-2021 12:25:07.964',0.418146,-9.749855,2.933002,35.588062,76.189285,-12.80657
'21-Oct-2021 12:25:07.983',0.504586,-9.690035,3.031108,35.682998,76.379731,-12.854008
'21-Oct-2021 12:25:08.002',0.563211,-9.585947,2.688935,35.657395,76.490578,-13.036166
'21-Oct-2021 12:25:08.021',0.602692,-9.68166,2.354837,35.574654,76.583414,-13.307731
'21-Oct-2021 12:25:08.040',0.558425,-9.777372,2.292623,35.555144,76.693886,-13.506528
'21-Oct-2021 12:25:08.059',0.528515,-9.782158,2.659921,35.723665,76.865194,-13.610698
'21-Oct-2021 12:25:08.078',0.434896,-9.721141,2.94377,35.888095,77.082865,-13.393918
'21-Oct-2021 12:25:08.097',0.340379,-9.773783,2.937788,35.826931,77.264616,-12.746545
'21-Oct-2021 12:25:08.116',0.15015,-9.802497,2.907878,35.594926,77.389417,-11.904218
'21-Oct-2021 12:25:08.135',0.013759,-9.661321,2.74038,35.360511,77.449673,-11.149228
'21-Oct-2021 12:25:08.154',0.029312,-9.652946,2.504388,35.155694,77.475218,-10.564954
'21-Oct-2021 12:25:08.173',0.071186,-9.853943,2.6336,34.530069,77.3976,-9.654719
'21-Oct-2021 12:25:08.192',0.335593,-9.869496,2.88395,33.93394,77.383393,-8.815611
'21-Oct-2021 12:25:08.211',0.403789,-9.670892,3.02034,33.285182,77.3678,-7.957544
'21-Oct-2021 12:25:08.230',0.469891,-9.608679,3.209373,32.930692,77.249556,-7.396476
'21-Oct-2021 12:25:08.249',0.764208,-9.752248,3.622434,32.736438,77.038844,-7.000864
'21-Oct-2021 12:25:08.268',1.042074,-9.900602,4.035495,32.520344,76.751505,-6.610296
'21-Oct-2021 12:25:08.287',1.116252,-9.886246,4.351348,32.531587,76.307078,-6.399802
'21-Oct-2021 12:25:08.306',1.361516,-9.940384,4.729713,32.697488,75.909725,-6.053203
'21-Oct-2021 12:25:08.325',1.809273,-10.203594,4.689035,33.275814,75.315027,-5.955916
'21-Oct-2021 12:25:08.344',2.006681,-10.326824,5.262415,34.26249,74.463248,-6.271856
'21-Oct-2021 12:25:08.363',1.780559,-9.996614,5.649155,35.711603,73.384181,-7.155369
'21-Oct-2021 12:25:08.382',1.931307,-9.731909,5.632405,37.413693,72.083829,-8.266401
'21-Oct-2021 12:25:08.401',2.338386,-9.832407,5.78076,38.981986,70.595114,-9.00379
'21-Oct-2021 12:25:08.420',2.332404,-9.808479,6.120841,40.411422,68.971114,-9.289767
'21-Oct-2021 12:25:08.439',1.80688,-9.550055,5.863313,41.894762,67.260793,-9.500103
'21-Oct-2021 12:25:08.458',1.774577,-9.605089,5.889634,43.324453,65.458614,-9.597742
'21-Oct-2021 12:25:08.477',2.304886,-10.110274,6.466603,44.474278,63.600174,-9.206598
'21-Oct-2021 12:25:08.496',2.261816,-10.488639,6.547959,45.508898,61.676656,-8.337272
'21-Oct-2021 12:25:08.515',1.385444,-10.428519,6.48455,46.771469,59.607382,-7.48226
'21-Oct-2021 12:25:08.534',0.981955,-10.11506,6.856932,48.240947,57.363016,-6.806957
'21-Oct-2021 12:25:08.553',1.550549,-9.97149,7.449455,49.597227,54.994767,-6.083903
'21-Oct-2021 12:25:08.572',1.983949,-9.822836,7.316653,50.779875,52.534479,-5.325169
'21-Oct-2021 12:25:08.591',1.955235,-9.454341,6.773184,51.986977,49.944983,-4.859263
'21-Oct-2021 12:25:08.610',2.035395,-9.05444,6.478567,53.3521,47.250873,-4.704774
'21-Oct-2021 12:25:08.629',2.092823,-8.812766,6.504889,54.775156,44.56499,-4.47606
'21-Oct-2021 12:25:08.648',2.022234,-8.556435,7.002894,56.17443,41.940363,-3.870618
'21-Oct-2021 12:25:08.667',1.859522,-8.108678,7.42792,57.553701,39.394335,-2.923891
'21-Oct-2021 12:25:08.686',1.656132,-7.733005,7.892426,58.922164,36.90288,-1.847637
'21-Oct-2021 12:25:08.705',1.605883,-7.537691,7.905587,60.323425,34.428152,-0.799354
'21-Oct-2021 12:25:08.724',1.452443,-7.27448,7.808678,61.775837,31.9446,0.21413
'21-Oct-2021 12:25:08.743',1.225125,-6.943971,9.040383,63.346166,29.462649,1.183835
'21-Oct-2021 12:25:08.762',2.037788,-7.400103,10.183554,64.988799,26.957338,2.048949
'21-Oct-2021 12:25:08.781',2.756233,-7.901699,10.194322,66.647743,24.287553,2.777381
'21-Oct-2021 12:25:08.800',2.906981,-7.75454,8.847462,68.460489,21.438499,3.059374
'21-Oct-2021 12:25:08.819',2.503491,-6.677172,7.152446,70.510761,18.405063,2.646132
'21-Oct-2021 12:25:08.838',1.918146,-5.362615,6.431907,72.818757,15.311332,1.727046
'21-Oct-2021 12:25:08.857',1.31366,-4.336991,6.368497,75.260202,12.321253,0.84438
'21-Oct-2021 12:25:08.876',0.691227,-3.595814,6.250053,77.741835,9.470225,0.392956
'21-Oct-2021 12:25:08.895',-0.025723,-2.929114,5.590531,80.19933,6.760339,0.271429
'21-Oct-2021 12:25:08.914',-0.790828,-2.25045,4.978866,82.605824,4.204816,0.267137
'21-Oct-2021 12:25:08.933',-1.41685,-1.552643,4.965705,84.877852,1.881051,0.377516
'21-Oct-2021 12:25:08.952',-1.808376,-0.837787,5.219345,86.978983,-0.134968,0.730502
'21-Oct-2021 12:25:08.971',-1.980659,-0.141177,4.989634,88.902883,-1.810526,1.302563
'21-Oct-2021 12:25:08.990',-2.427219,0.439382,5.137989,90.690159,-3.174489,1.981012
'21-Oct-2021 12:25:09.009',-2.940779,0.884746,5.840581,92.346282,-4.180623,2.720847
'21-Oct-2021 12:25:09.028',-2.862713,1.079761,7.002894,93.859148,-4.809463,3.553446
'21-Oct-2021 12:25:09.046',-2.604288,1.017548,7.535597,95.162458,-5.100211,4.377112
'21-Oct-2021 12:25:09.066',-2.499004,0.954138,7.856534,96.268204,-5.107846,4.809541
'21-Oct-2021 12:25:09.085',-2.239084,0.890728,9.363414,97.290328,-4.97284,4.801205
'21-Oct-2021 12:25:09.104',-1.585544,0.64995,10.274482,98.256752,-4.725536,4.646854
'21-Oct-2021 12:25:09.123',-0.814756,0.500399,9.537193,99.093559,-4.41147,4.313314
'21-Oct-2021 12:25:09.142',-0.851845,0.545863,8.720642,99.805852,-4.132465,3.724303
'21-Oct-2021 12:25:09.161',-1.552045,0.605683,9.866206,100.421703,-3.848418,3.213241
'21-Oct-2021 12:25:09.180',-1.948356,0.398704,10.693524,100.941371,-3.506167,3.12114
'21-Oct-2021 12:25:09.199',-1.194018,0.150748,10.26491,101.275497,-3.175539,3.163671
'21-Oct-2021 12:25:09.218',-0.472283,0.166301,10.305588,101.440467,-2.985498,3.111808
'21-Oct-2021 12:25:09.237',-0.805185,0.456132,10.196714,101.581893,-2.85316,3.079248
'21-Oct-2021 12:25:09.256',-1.412064,0.670289,10.183554,101.782885,-2.761912,3.079433
'21-Oct-2021 12:25:09.275',-1.380958,0.745663,10.206285,101.959507,-2.688595,3.134326
'21-Oct-2021 12:25:09.294',-1.019342,0.797408,9.792028,102.055539,-2.621284,3.278098
'21-Oct-2021 12:25:09.313',-0.762114,0.890728,8.522038,102.103098,-2.565019,3.403026
'21-Oct-2021 12:25:09.332',-0.921237,0.751945,9.24138,102.155362,-2.473422,3.507328
'21-Oct-2021 12:25:09.351',-1.346262,0.168694,10.128519,102.209225,-2.202696,3.79138
